alt,time,vs,hs,dist,ang,weight,acc,fuel
12272.394050908724,49.0,30.54716465419209,855.4969742340365,137045.59914135936,73.24735104992281,277.5234138495617,1.5986336542243658,112.52341384956169
12241.520924052324,50.0,30.87312685640043,853.9720387595254,136191.62710259983,72.53477200123298,277.3631945399554,1.639281736379128,112.36319453995536
12210.355699970029,51.0,31.16522408229473,852.4157922407579,135339.21131035907,71.68560958157411,277.1982470881528,1.6886619049627603,112.19824708815281
12178.939171586968,52.0,31.41652838306129,850.821773865095,134488.38953649398,70.72646841455636,277.0278774795958,1.7452442908612609,112.02787747959582
12147.318291439344,53.0,31.62088014762447,849.1850679518208,133639.20446854216,69.68681346815455,276.85156130534943,1.807310416961232,111.85156130534945
12115.545128978596,54.0,31.773162460747162,847.5023805216663,132791.70208802048,68.59831062170399,276.66895803196184,1.8729910367197788,111.66895803196182
12083.67552825296,55.0,31.869600725636346,845.7720378857389,131945.93005013475,67.49396972924501,276.47992030162425,1.9403160393914973,111.47992030162426
12051.76747659704,56.0,31.908051655918587,843.993908219468,131101.93614191527,66.4071086768245,276.28449718673426,2.007275527472252,111.28449718673428
12019.87923429626,57.0,31.88824230077917,842.1692559009226,130259.76688601435,65.37018440217155,276.08293058269163,2.0718895390939647,111.08293058269165
11988.067312223056,58.0,31.811922073203302,840.3005466902862,129419.46633932406,64.41356086304026,275.87564432409647,2.1322824250994783,110.87564432409646
11956.384413347316,59.0,31.6828988757406,838.3912273492148,128581.07511197485,63.564300266031054,275.66322610905974,2.1867568503269394,110.66322610905972
11924.877470142623,60.0,31.506943204693012,836.4455043378704,127744.62960763698,62.84506946611812,275.44640285263125,2.233861959508488,110.44640285263125
11893.58591070755,61.0,31.29155943507228,834.4681422637277,126910.16146537325,62.27324725632109,275.22601059519207,2.2724505070389043,110.2260105951921
11862.540271907057,62.0,31.045638800493133,832.4642947166334,126077.69717065663,61.8603013919257,275.0029605026165,2.301720647979505,110.00296050261646
11831.761250361686,63.0,30.779021545371506,830.439370134737,125247.25780052188,61.611479493434125,274.7782027656815,2.321239471694193,109.77820276568148
